verb,first_frame_diff,total_intersection,total_union,accuracy_2,accuracy_all,recall,precision,f1_0,f1_1,f1_2,f1_macro,f1_micro
crushing,0,18,18,1.0,0.775,1.0,1.0,0.0,0.7428571581840515,1.0,0.5809524059295654,0.7749999761581421
shredding,18,0,18,0.550000011920929,0.375,0.0,0.0,0.7200000286102295,0.3243243098258972,0.0,0.3481081426143646,0.375
shredding,2,5,18,0.675000011920929,0.625,1.0,0.2777777910232544,0.43478259444236755,0.8823529481887817,0.43478259444236755,0.5839727520942688,0.625
rolling,18,0,18,0.550000011920929,0.225,0.0,0.0,0.125,0.46666666865348816,0.0,0.19722223281860352,0.22499999403953552
rolling,12,1,27,0.3499999940395355,0.175,0.10000000149011612,0.0555555559694767,0.25,0.20000000298023224,0.0714285746216774,0.17380952835083008,0.17499999701976776
frying,12,6,18,0.699999988079071,0.6,1.0,0.3333333432674408,0.2857142984867096,0.6938775777816772,0.5,0.4931972920894623,0.6000000238418579
frying,11,4,17,0.675000011920929,0.575,1.0,0.23529411852359772,0.5,0.6976743936538696,0.380952388048172,0.5262089371681213,0.574999988079071
chopping,1,18,19,0.9750000238418579,0.9,1.0,0.9473684430122375,0.800000011920929,0.8571428656578064,0.9729729890823364,0.8767053484916687,0.8999999761581421
chopping,14,3,18,0.625,0.25,1.0,0.1666666716337204,0.3255814015865326,0.0,0.2857142984867096,0.20376522839069366,0.25
mincing,2,11,18,0.824999988079071,0.65,1.0,0.6111111044883728,0.0,0.7894737124443054,0.7586206793785095,0.5160314440727234,0.6499999761581421
mincing,18,0,18,0.550000011920929,0.425,0.0,0.0,0.5,0.5882353186607361,0.0,0.36274513602256775,0.42500001192092896
mincing,18,0,18,0.550000011920929,0.35,0.0,0.0,0.6363636255264282,0.3499999940395355,0.0,0.3287878930568695,0.3499999940395355
mincing,1,18,19,0.9750000238418579,0.775,0.9473684430122375,1.0,0.692307710647583,0.47058823704719543,0.9729729890823364,0.7119563221931458,0.7749999761581421
frying,18,0,18,0.550000011920929,0.1,0.0,0.0,0.27586206793785095,0.0,0.0,0.09195402264595032,0.10000000149011612
frying,23,0,23,0.4888888895511627,0.35555555555555557,0.0,0.0,0.0,0.5245901346206665,0.0,0.17486338317394257,0.35555556416511536
